Wavelength (nm)	Normalized Intensity
394.73	0.600000
396.20	0.600000
397.66	0.600000
399.13	0.600000
400.60	0.600000
402.07	0.600000
403.53	0.600000
405.00	0.600000
406.47	0.600000
407.93	0.600000
409.40	0.600000
410.87	0.600000
412.34	0.600000
413.80	0.600000
415.27	0.600000
416.74	0.600000
418.20	0.600000
419.67	0.600000
421.14	0.600000
422.61	0.600000
424.07	0.600000
425.54	0.600000
427.01	0.600000
428.47	0.600000
429.94	0.600000
431.41	0.600000
432.88	0.600000
434.34	0.600000
435.81	0.600000
437.28	0.600000
438.74	0.600000
440.21	0.600000
441.68	0.600000
443.14	0.600000
444.61	0.600000
446.08	0.600000
447.55	0.600000
449.01	0.600000
450.48	0.600000
451.95	0.600000
453.41	0.600000
454.88	0.600000
456.35	0.600000
457.82	0.600000
459.28	0.600000
460.75	0.600000
462.22	0.600000
463.68	0.600000
465.15	0.600000
466.62	0.600000
468.09	0.600000
469.55	0.600000
471.02	0.600000
472.49	0.600000
473.95	0.600000
475.42	0.600000
476.89	0.600000
478.36	0.600000
479.82	0.600000
481.29	0.600000
482.76	0.600000
484.22	0.600000
485.69	0.600000
487.16	0.600000
488.62	0.600000
490.09	0.600000
491.56	0.600000
493.03	0.600000
494.49	0.600000
495.96	0.600000
497.43	0.600000
498.89	0.600000
500.36	0.600000
501.83	0.600000
503.30	0.600000
504.76	0.600000
506.23	0.600000
507.70	0.600000
509.16	0.600000
510.63	0.600000
512.10	0.600000
513.57	0.600000
515.03	0.600000
516.50	0.600000
517.97	0.600000
519.43	0.600000
520.90	0.600000
522.37	0.600000
523.84	0.600000
525.30	0.600000
526.77	0.600000
528.24	0.600000
529.70	0.600000
531.17	0.600000
532.64	0.600000
534.11	0.600000
535.57	0.600000
537.04	0.600000
538.51	0.600000
539.97	0.600000
541.44	0.600000
542.91	0.600000
544.37	0.600000
545.84	0.600000
547.31	0.600000
548.78	0.600000
550.24	0.600000
551.71	0.600000
553.18	0.600000
554.64	0.600000
556.11	0.600000
557.58	0.600000
559.05	0.600000
560.51	0.600000
561.98	0.600000
563.45	0.600000
564.91	0.600000
566.38	0.600000
567.85	0.600000
569.32	0.600000
570.78	0.600000
572.25	0.600000
573.72	0.600000
575.18	0.600000
576.65	0.600000
578.12	0.600000
579.59	0.600000
581.05	0.600000
582.52	0.600000
583.99	0.600000
585.45	0.600000
586.92	0.600000
588.39	0.600000
589.85	0.600000
591.32	0.600000
592.79	0.600000
594.26	0.600000
595.72	0.600000
597.19	0.600000
598.66	0.600000
600.12	0.600000
601.59	0.600000
603.06	0.600000
604.53	0.600000
605.99	0.600000
607.46	0.600000
608.93	0.600000
610.39	0.600000
611.86	0.600000
613.33	0.600000
614.80	0.600000
616.26	0.600000
617.73	0.600000
619.20	0.600000
620.66	0.600000
622.13	0.600000
623.60	0.600000
625.07	0.600000
626.53	0.600000
628.00	0.600000
629.47	0.600000
630.93	0.600000
632.40	0.600000
633.87	0.600000
635.33	1.000000
636.80	0.800000
638.27	0.800000
639.74	0.600000
641.20	0.400000
642.67	0.200000
644.14	0.000000
645.60	0.000000
647.07	0.400000
648.54	0.400000
650.01	0.400000
651.47	0.400000
652.94	0.400000
654.41	0.400000
655.87	0.400000
657.34	0.400000
658.81	0.400000
660.28	0.400000
661.74	0.400000
663.21	0.400000
664.68	0.400000
666.14	0.400000
667.61	0.400000
669.08	0.400000
670.55	0.400000
672.01	0.400000
673.48	0.200000
674.95	0.200000
676.41	0.600000
677.88	0.600000
679.35	0.600000
680.82	0.600000
682.28	0.600000
683.75	0.600000
685.22	0.600000
686.68	0.600000
